,Unnamed: 0,apartment_number,total_area,house_number,residents_number,owner_name
500,500,41,64.7401509163743,4,0,Евпраксия Федоровна Фокина
501,501,27,26.55318837633349,25,0,Казаков Архип Ильясович
502,502,27,44.67589781472996,9,4,Титов Устин Измаилович
503,503,94,78.83088296571322,8,6,Серафим Ильясович Мартынов
504,504,99,47.304765674086,9,4,Артем Брониславович Крюков
505,505,126,79.1423668956054,5,0,Шарова Лидия Константиновна
506,506,23,105.43218062254128,3,0,Фокина Олимпиада Григорьевна
507,507,155,78.52075028559328,16,6,Дорофеева Лариса Ниловна
508,508,23,43.37157568747282,18,2,Артем Августович Павлов
509,509,29,47.14631417792204,4,2,Прохор Фёдорович Громов
510,510,138,57.26715347483898,5,10,Радим Филатович Корнилов
511,511,100,81.98056014762624,2,0,Андроник Ефремович Русаков
512,512,30,83.03310721670265,2,23,Сафонова Оксана Леонидовна
513,513,29,36.74672849253227,8,0,Феофан Трофимович Елисеев
514,514,27,47.50650628108706,8,1,Радован Вячеславович Бобылев
515,515,128,40.81115291786865,15,8,Олег Устинович Моисеев
516,516,53,60.18497253984886,7,11,Костин Онуфрий Эдгарович
517,517,27,40.75759182957332,10,1,Веселов Симон Владленович
518,518,5,43.93458016980312,7,5,Зуева Иванна Вячеславовна
519,519,45,78.2305777803295,15,2,Наум Артёмович Авдеев
520,520,53,54.402000048852805,1,10,Якушев Сильвестр Зиновьевич
521,521,108,59.5625939584944,5,1,Станимир Германович Меркушев
522,522,23,55.86962475037349,3,0,Яковлев Лазарь Артурович
523,523,27,43.10068945283744,5,1,Беляева Нинель Романовна
524,524,27,47.69414316898701,13,0,Фаина Михайловна Аксенова
525,525,61,52.94042298135378,3,9,Юдин Василий Ефимьевич
526,526,3,38.467964512739485,12,3,Ананий Дорофеевич Хохлов
527,527,56,53.73367651648384,24,6,Артемий Трофимович Крюков
528,528,57,81.32299030479821,13,4,Горбунов Ипатий Ефимович
529,529,52,61.854475552113286,5,5,Крюков Осип Давидович
530,530,164,30.9451769203912,6,6,Панова Полина Анатольевна
531,531,58,34.60286092106148,10,2,Будимир Анисимович Бирюков
532,532,105,35.807067591940765,7,2,Демьян Тихонович Гусев
533,533,89,40.23247130858349,9,4,Каллистрат Денисович Маслов
534,534,27,43.04945440158849,12,0,Филимон Гавриилович Носков
535,535,1,41.01728075661456,11,1,Лыткин Осип Власович
536,536,123,49.66807875038748,4,5,Андреева Елизавета Кузьминична
537,537,110,53.36150054355546,11,8,Любосмысл Всеволодович Доронин
538,538,13,77.74131429470098,16,15,Муравьев Софон Марсович
539,539,53,54.26437336920005,5,3,Белова Ираида Сергеевна
540,540,93,60.80454378615856,5,3,Гуляев Милий Ерофеевич
541,541,47,36.84434965259415,3,3,Рыбакова Любовь Вячеславовна
542,542,78,37.63886789579714,9,2,Туров Панфил Бенедиктович
543,543,101,37.66722446310716,6,2,Орехов Спартак Богданович
544,544,23,63.83767074412142,4,0,Фрол Владиленович Тимофеев
545,545,96,39.21195671545041,7,4,Кулаков Лука Афанасьевич
546,546,52,44.43908246097919,13,5,Ирина Наумовна Макарова
547,547,30,83.59636479558252,3,23,Таисия Артемовна Гуляева
548,548,48,38.8401594517057,2,10,Мария Феликсовна Бурова
549,549,33,79.56632934939215,6,0,Кирилл Александрович Стрелков
550,550,21,49.79360723558687,3,5,Остромир Викентьевич Логинов
551,551,6,48.12811381122239,21,0,Ксения Ивановна Козлова
552,552,27,41.28017431472082,9,1,Александр Харлампьевич Кудряшов
553,553,74,52.41278642576464,7,2,Нинель Феликсовна Филатова
554,554,52,66.7956659956858,3,5,Людмила Петровна Костина
555,555,6,50.8218174641723,6,0,Агафья Артемовна Баранова
