,Unnamed: 0,apartment_number,total_area,house_number,residents_number,owner_name
0,0,35,47.98156123517504,7,11,Кононов Максим Игнатович
1,1,41,65.68363987232782,7,16,Суворов Харитон Жанович
2,2,53,44.947952764125,8,3,Анна Кузьминична Жукова
3,3,58,53.35298135561334,8,5,Шашков Селиверст Терентьевич
4,4,99,39.64919195003,11,4,Раиса Аскольдовна Суворова
5,5,59,80.38447920267191,5,6,Зиновьев Константин Викентьевич
6,6,154,62.2541135864025,3,5,Марфа Харитоновна Савельева
7,7,74,80.31292563185586,14,2,Евдокимов Кузьма Борисович
8,8,1,64.51143730838427,9,1,Прасковья Семеновна Сысоева
9,9,23,46.46140869718414,13,2,Мамонтова Евдокия Мироновна
10,10,28,46.304906773325854,8,0,Ефимова Валентина Вениаминовна
11,11,31,68.80885909839964,1,4,Рябов Ермолай Феофанович
12,12,13,54.522804902937104,8,15,Ларионов Мина Трифонович
13,13,57,68.10273923286483,6,4,Савелий Виленович Фомин
14,14,27,53.76909713652528,5,0,Кулакова Иванна Егоровна
15,15,85,73.6122247317727,4,7,Ия Евгеньевна Осипова
16,16,27,49.360647800323534,6,0,Дорофеева Эмилия Геннадиевна
17,17,34,57.96996422253015,6,11,Майя Эдуардовна Бирюкова
18,18,57,44.51348081256669,6,4,Алина Львовна Ермакова
19,19,19,110.95979224728354,16,9,Гусев Изяслав Антипович
20,20,0,103.60529197422832,12,8,Осипова Милица Даниловна
21,21,27,64.71183493873933,15,1,Меркушева Антонина Альбертовна
22,22,48,41.66864965650633,19,10,Андроник Федосеевич Борисов
23,23,54,118.90761184257369,2,6,Мишин Юлий Антонович
24,24,150,62.18053598937177,4,5,Лора Антоновна Мухина
25,25,74,82.66791473448255,16,2,Татьяна Борисовна Титова
26,26,27,106.95887123511147,17,0,Александра Робертовна Сафонова
27,27,23,64.55620925344805,8,2,Беляков Гедеон Елизарович
28,28,23,42.530043258688565,3,0,Петухова Майя Вячеславовна
29,29,11,48.37223191245333,4,1,Фотий Игоревич Сидоров
30,30,50,39.43535081853332,9,19,Фёкла Романовна Никитина
31,31,61,41.7651555000357,12,9,Лора Ждановна Колобова
